time,regione,fractile,threshold,top_share,bracket_average
1999,Italia,.19,5826.07942427025,.9221923047857065,5828.450245254399
1999,Italia,.2,5830.821066240222,.9177526558901675,5833.191887226501
1999,Italia,.21,5835.562708210166,.9133093951896618,5837.93352919376
1999,Italia,.22,5840.304350180133,.908862522684193,5842.675171165552
1999,Italia,.23,5845.045992150092,.9044120383737576,5847.41681313503
1999,Italia,.24,5849.787634120053,.8999579422583575,5852.158455105932
1999,Italia,.25,5854.529276090009,.8955002343379914,5856.90009707481
1999,Italia,.26,5859.27091805996,.891038914612661,5861.641739043397
1999,Italia,.27,5864.012560029937,.8865739830823666,5866.383381015336
1999,Italia,.28,5868.754201999886,.8821054397471054,5871.125022986143
1999,Italia,.29,5873.495843969838,.8776332846068785,5875.866664954258
1999,Italia,.3,5878.23748593981,.8731575176616878,5880.608306923866
1999,Italia,.31,5882.979127909764,.8686781389115322,5885.349948894639
1999,Italia,.32,5887.720769879721,.8641951483564109,5890.091590866141
1999,Italia,.33,5892.462411849678,.8597085459963232,5894.833232834581
1999,Italia,.34,5897.204053819642,.8552183318312715,5899.574874803314
1999,Italia,.35,5901.945695789603,.8507245058612556,5904.316516775286
1999,Italia,.36,5906.687337759559,.846227068086273,5909.058158745006
1999,Italia,.37,5911.428979729513,.8417260185063254,5913.79980071403
1999,Italia,.38,5916.170621699474,.8372213571214134,5918.54144268524
1999,Italia,.39,5920.91226366943,.8327130839315353,5923.28308465266
1999,Italia,.4,5925.653905639399,.828201198936694,5928.024726625766
1999,Italia,.41,5930.39554760935,.8236857021368851,5934.777512613153
1999,Italia,.42,5952.228500184052,.8191650616028777,5990.911103849831
1999,Italia,.43,6029.593707518681,.8146016629726612,6068.276311187036
1999,Italia,.44,6106.958914853303,.8099793336931547,6148.840206200011
1999,Italia,.45,6219.718471397314,.8052956372590077,6356.313100328253
1999,Italia,.46,6492.90772925761,.8004539045087712,6647.70320068653
1999,Italia,.47,6827.573348633176,.7953902140025635,7003.101582379484
1999,Italia,.48,7174.53156691756,.7900558093328363,7343.749547850039
1999,Italia,.49,7512.861432048312,.7844619261911258,7676.979914702461
1999,Italia,.5,7833.664827525786,.77861421471291,7970.081063021709
1999,Italia,.51,8101.988117318994,.7725432421387493,8240.380255797703
1999,Italia,.52,8388.181539756804,.7662663771811629,8561.635346920382
1999,Italia,.53,8749.223734199959,.7597448056977465,8958.896136124413
1999,Italia,.54,9173.982306741782,.7529206326050144,9389.271519046222
1999,Italia,.55,9600.36665514185,.7457686338445567,9798.05979219037
1999,Italia,.5600000000000001,9988.057192492279,.7383052527562064,10167.17147681846
1999,Italia,.5700000000000001,10343.94035754393,.7305607118030492,10520.89867321909
1999,Italia,.58,10699.71126964932,.7225467296621422,10883.36626936939
1999,Italia,.59,11069.08849541821,.7142566485935266,11255.07045490958
1999,Italia,.6,11438.28925249014,.7056834328995198,11615.18753692508
1999,Italia,.61,11790.58233902502,.6968359087121471,11966.48245635856
1999,Italia,.62,12144.10570076403,.6877207960517765,12327.0874736354
1999,Italia,.63,12513.29814969029,.678331003227844,12705.62675763411
1999,Italia,.64,12900.28336879248,.6686528693452414,13096.27537906379
1999,Italia,.65,13290.83293935689,.6586771704757735,13478.31950539241
1999,Italia,.66,13660.32205582923,.6484104608380686,13828.03580087546
1999,Italia,.67,13987.18346971672,.6378773651972822,14127.23571393033
1999,Italia,.68,14257.11353857858,.6271163629076193,14366.67112326014
1999,Italia,.6900000000000001,14466.59219575032,.6161729778050552,14550.10657949025
1999,Italia,.7000000000000001,14627.56759582206,.6050898661909166,14699.766769236
1999,Italia,.71,14773.7558129656,.5938927553714746,14863.69760238155
1999,Italia,.72,14969.18295782818,.5825707751078929,15124.27587866773
